variable_declaration (2, 1) let
identifier (2, 5) jgf
assignment (2, 5) =
number (2, 9) 13
separator (2, 11) ;
identifier (3, 1) a123
identifier (3, 6) a_
identifier (3, 9) a_123
error (4, 1) a@123
error (5, 1) 1a
error (6, 1) @a
variable_declaration (7, 1) const
identifier (7, 7) str
assignment (7, 11) =
string (7, 13) "ыфваваыф"
separator (7, 31) ;
identifier (8, 1) id.id.id
number (10, 1) 123
number (11, 1) 0.123
number (12, 1) .123
number (13, 1) 25.25
number (14, 1) 25.25e-25
error (15, 1) 1a
identifier (16, 1) опа
identifier (16, 8) пr
identifier (16, 12) zя
number (17, 1) 1.
number (18, 1) .1
number (19, 1) .0
number (20, 1) .123e+5
error (21, 5) .e+5
number (22, 1) 0.e-25
error (23, 1) 123455678901234556789012345567890123455678901234556789015710934751340958713450983147590814375091387
error (24, 1) 25.25.25
string (26, 1) "123"
string (27, 1) "123123"
if_statement (31, 1) if
bracket (31, 4) (
identifier (31, 5) str
assignment (31, 9) =
string (31, 11) "123"
bracket (31, 16) )
curly_bracket (32, 1) {
return (33, 5) return
number (33, 12) 420
separator (33, 15) ;
curly_bracket (35, 1) }
else_block (36, 1) else
return (36, 6) return
number (36, 13) 69
separator (36, 15) ;
